Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
Current Pediatric Reviews,CURR PEDIATR REV,1573-3963,1875-6336,医学,BENTHAM SCIENCE PUBL LTD,4,Q2,1.6,2.5,91/191,
FOLIA PARASITOLOGICA,FOLIA PARASIT,0015-5683,1803-6465,医学,FOLIA PARASITOLOGICA,4,Q3,1.6,1.5,29/47,
Journal of Second Language Pronunciation,J SECOND LANG PRONUN,2215-1931,2215-194X,N/A,JOHN BENJAMINS PUBLISHING CO,N/A,Q2,1.6,N/A,80/303,
MULTISCALE MODELING & SIMULATION,MULTISCALE MODEL SIM,1540-3459,1540-3467,数学,SIAM PUBLICATIONS,3,Q2,1.6,1.8,25/61,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1558-4593,计算机科学,ASSOC COMPUTING MACHINERY,2,Q3,1.6,2.4,82/128,
ANNALS OF VASCULAR SURGERY,ANN VASC SURG,0890-5096,1615-5947,医学,ELSEVIER SCIENCE INC,4,Q2,1.6,1.5,156/312,
Behavior and Social Issues,BEHAV SOC ISSUES,1064-9506,2376-6786,心理学,SPRINGER,3,Q2,1.6,1.5,103/221,
Drugs Habits and Social Policy,DRUG HABIT SOC POLIC,2752-6739,2752-6747,医学,EMERALD GROUP PUBLISHING LTD,4,Q4,1.6,1.6,44/58,
Health Security,HEALTH SECUR,2326-5094,2326-5108,医学,"MARY ANN LIEBERT, INC",4,Q3,1.6,2.1,277/419,
Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery,INNOVATIONS,1556-9845,1559-0879,医学,SAGE PUBLICATIONS INC,4,Q2,1.6,1.7,156/312,
Monash Bioethics Review,MONASH BIOETH REV,1321-2753,1836-6716,哲学,SPRINGER HEIDELBERG,3,Q2,1.6,1.5,34/77,
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,RES Q EXERCISE SPORT,0270-1367,2168-3824,医学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q3,1.6,2.3,74/133,
Behavioral Sleep Medicine,BEHAV SLEEP MED,1540-2002,1540-2010,医学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q3,1.6,2.8,194/288,
CARDIOLOGY CLINICS,CARDIOL CLIN,0733-8651,1558-2264,医学,W B SAUNDERS CO-ELSEVIER INC,3,Q3,1.6,2.4,146/230,
CHILD & YOUTH CARE FORUM,CHILD YOUTH CARE FOR,1053-1890,1573-3319,心理学,SPRINGER,4,Q4,1.6,2.2,72/94,
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,0167-9473,1872-7352,数学,ELSEVIER,3,Q2,1.6,1.9,51/167,
EXPERIMENTAL PARASITOLOGY,EXP PARASITOL,0014-4894,1090-2449,医学,ACADEMIC PRESS INC ELSEVIER SCIENCE,4,Q3,1.6,1.8,29/47,
Journal for Nurses in Professional Development,J NURSES PROF DEV,2169-9798,2169-981X,医学,LIPPINCOTT WILLIAMS & WILKINS,4,Q2,1.6,1.4,93/192,
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,J RADIOANAL NUCL CH,0236-5731,1588-2780,化学,SPRINGER,3,Q3,1.6,1.6,23/41,
BioResources,BIORESOURCES,1930-2126,1930-2126,农林科学,NORTH CAROLINA STATE UNIV DEPT WOOD & PAPER SCI,4,Q2,1.6,1.7,9/24,
Freshwater Science,FRESHW SCI,2161-9549,2161-9565,环境科学与生态学,UNIV CHICAGO PRESS,4,Q3,1.6,1.8,60/119,
Health Services and Outcomes Research Methodology,HEALTH SERV OUTCOME,1387-3741,1572-9400,医学,SPRINGER,4,Q3,1.6,1.6,128/185,
JOURNAL OF EDUCATIONAL MEASUREMENT,J EDUC MEAS,0022-0655,1745-3984,教育学,WILEY,4,Q3,1.6,1.5,70/115,
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,J REPROD INFANT PSYC,0264-6838,1469-672X,心理学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q2,1.6,2.4,103/221,
Proteome Science,PROTEOME SCI,N/A,1477-5956,生物学,BMC,3,Q4,1.6,1.8,71/86,
SCANDINAVIAN JOURNAL OF ECONOMICS,SCAND J ECON,0347-0520,1467-9442,经济学,WILEY,3,Q2,1.6,1.4,276/617,
Telemedicine Reports,TELEMED REP,N/A,2692-4366,医学,"MARY ANN LIEBERT, INC",4,Q3,1.6,1.9,128/185,
Cardiovascular Ultrasound,CARDIOVASC ULTRASOUN,N/A,1476-7120,医学,BMC,3,Q3,1.6,2.3,146/230,
Proceedings of the Institution of Civil Engineers-Urban Design and Planning,PROC INST CIV ENG-U,1755-0793,1755-0807,经济学,EMERALD GROUP PUBLISHING LTD,4,Q3,1.6,1.4,47/76,
Surgical Innovation,SURG INNOV,1553-3506,1553-3514,医学,SAGE PUBLICATIONS INC,4,Q2,1.6,1.7,156/312,
Holistic Nursing Practice,HOLIST NURS PRACT,0887-9311,1550-5138,医学,LIPPINCOTT WILLIAMS & WILKINS,4,Q2,1.6,1.5,93/192,
Hong Kong Journal of Occupational Therapy,HONG KONG J OCCUP TH,1569-1861,1876-4398,医学,SAGE PUBLICATIONS LTD,4,Q2,1.6,1.5,75/173,
Oceans-Switzerland,OCEANS-BASEL,N/A,2673-1924,地球科学,MDPI,4,Q3,1.6,1.9,60/119,
AERONAUTICAL JOURNAL,AERONAUT J,0001-9240,2059-6464,工程技术,CAMBRIDGE UNIV PRESS,4,Q2,1.6,1.6,24/55,
BEHAVIOURAL PHARMACOLOGY,BEHAV PHARMACOL,0955-8810,1473-5849,心理学,LIPPINCOTT WILLIAMS & WILKINS,4,Q4,1.6,1.8,43/57,
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CAN J BEHAV SCI,0008-400X,1879-2669,心理学,CANADIAN PSYCHOLOGICAL ASSOC,4,Q2,1.6,2.1,103/221,
European Journal of Political Theory,EUR J POLIT THEORY,1474-8851,1741-2730,社会学,SAGE PUBLICATIONS LTD,2,Q2,1.6,1.4,134/322,
Frontiers of Earth Science,FRONT EARTH SCI-PRC,2095-0195,2095-0209,地球科学,SPRINGER,4,Q3,1.6,1.8,169/258,
Journal of Mental Health Policy and Economics,J MENT HEALTH POLICY,1091-4358,1099-176X,医学,INT CTR MENTAL HEALTH POLICY & ECONOMICS-ICMPE,4,Q3,1.6,1.5,194/288,
Plant Ecology & Diversity,PLANT ECOL DIVERS,1755-0874,1755-1668,生物学,TAYLOR & FRANCIS LTD,4,Q3,1.6,2.2,139/273,
Polar Geography,POLAR GEOGR,1088-937X,1939-0513,地球科学,TAYLOR & FRANCIS INC,3,Q3,1.6,2.8,49/67,
RELIEVE-Revista Electronica de Investigacion y Evaluacion Educativa,RELIEVE,1134-4032,1134-4032,教育学,ASOC INTERUNIVERSITARIA INVESTIGACION PEDAGOGICA,4,Q2,1.6,1.8,280/756,
SPECTROSCOPY LETTERS,SPECTROSC LETT,0038-7010,1532-2289,N/A,TAYLOR & FRANCIS INC,N/A,Q3,1.6,1.7,28/44,
Biomedical Physics & Engineering Express,BIOMED PHYS ENG EXPR,2057-1976,2057-1976,医学,IOP Publishing Ltd,4,Q3,1.6,1.5,133/212,
BMJ Open Quality,BMJ OPEN QUAL,N/A,2399-6641,医学,BMJ PUBLISHING GROUP,4,Q2,1.6,1.7,124/332,
ENTOMOLOGICAL RESEARCH,ENTOMOL RES,1738-2297,1748-5967,农林科学,WILEY,4,Q2,1.6,1.5,41/110,
JBJS Essential Surgical Techniques,JBJS ESSENT SURG TEC,2160-2204,2160-2204,医学,LIPPINCOTT WILLIAMS & WILKINS,4,Q2,1.6,2.4,156/312,
Journal of Dance Medicine & Science,J DANCE MED SCI,1089-313X,2374-8060,医学,SAGE PUBLICATIONS INC,4,Q3,1.6,1.4,74/133,
Osong Public Health and Research Perspectives,OSONG PUBLIC HEALTH,2210-9099,2233-6052,医学,KOREA DISEASE CONTROL & PREVENTION AGENCY,4,Q3,1.6,N/A,277/419,
Visceral Medicine,VISC MED,2297-4725,2297-475X,医学,KARGER,4,Q2,1.6,2.4,156/312,
BIOLOGICAL AGRICULTURE & HORTICULTURE,BIOL AGRIC HORTIC,0144-8765,2165-0616,农林科学,TAYLOR & FRANCIS LTD,4,Q2,1.6,1.7,22/45,
EUROPEAN JOURNAL OF PROTISTOLOGY,EUR J PROTISTOL,0932-4739,1618-0429,生物学,ELSEVIER GMBH,3,Q4,1.6,1.6,137/163,
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,0129-1831,1793-6586,物理与天体物理,WORLD SCIENTIFIC PUBL CO PTE LTD,4,Q2,1.6,1.3,25/61,
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,J THEOR SOC BEHAV,0021-8308,1468-5914,N/A,WILEY,N/A,Q3,1.6,1.5,56/78,
Journal of Chinese Economic and Foreign Trade Studies,J CHIN ECON FOREIGN,1754-4408,1754-4416,经济学,EMERALD GROUP PUBLISHING LTD,4,Q2,1.6,1.6,276/617,
Middle East Current Psychiatry-MECPsych,MIDDLE EAST CURR PSY,N/A,2090-5416,医学,SPRINGERNATURE,4,Q3,1.6,N/A,194/288,
Open Agriculture,OPEN AGRIC,2391-9531,2391-9531,农林科学,DE GRUYTER POLAND SP Z O O,4,Q2,1.6,2.0,38/94,
Public Library Quarterly,PUBLIC LIBR Q,0161-6846,1541-1540,管理学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q2,1.6,1.7,71/166,
CONGENITAL ANOMALIES,CONGENIT ANOM,0914-3505,1741-4520,医学,WILEY,4,Q2,1.6,1.3,91/191,
ECONOMICA,ECONOMICA,0013-0427,1468-0335,经济学,WILEY,3,Q2,1.6,1.9,276/617,
FOLIA NEUROPATHOLOGICA,FOLIA NEUROPATHOL,1641-4640,1509-572X,医学,TERMEDIA PUBLISHING HOUSE LTD,4,Q3,1.6,2.3,56/90,
HORTSCIENCE,HORTSCIENCE,0018-5345,2327-9834,农林科学,AMER SOC HORTICULTURAL SCIENCE,4,Q2,1.6,1.9,22/45,
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,J MUSCULOSKEL NEURON,1108-7161,N/A,医学,JMNI,4,Q4,1.6,2.3,71/87,
Journal of Public Health-Heidelberg,J PUBLIC HEALTH-HEID,2198-1833,1613-2238,医学,SPRINGER HEIDELBERG,4,Q3,1.6,1.6,277/419,
Local Economy,LOCAL ECON,0269-0942,1470-9325,经济学,SAGE PUBLICATIONS LTD,3,Q2,1.6,1.8,276/617,
PHOTOSYNTHETICA,PHOTOSYNTHETICA,0300-3604,1573-9058,生物学,"ACAD SCIENCES CZECH REPUBLIC, INST EXPERIMENTAL BOTANY",4,Q3,1.6,2.4,139/273,
Revista de Contabilidad-Spanish Accounting Review,REV CONTAB,1138-4891,1988-4672,管理学,UNIV MURCIA,4,Q3,1.6,1.8,133/241,
Revista Portuguesa de Cardiologia,REV PORT CARDIOL,0870-2551,0304-4750,医学,ELSEVIER ESPANA SLU,4,Q3,1.6,1.5,146/230,
World Journal of Engineering,WORLD J ENG,1708-5284,1708-5284,工程技术,EMERALD GROUP PUBLISHING LTD,4,Q2,1.6,1.6,79/175,
AUSTRAL ECOLOGY,AUSTRAL ECOL,1442-9985,1442-9993,环境科学与生态学,WILEY,4,Q3,1.6,1.8,134/200,
AUSTRALIAN SYSTEMATIC BOTANY,AUST SYST BOT,1030-1887,1446-5701,生物学,CSIRO PUBLISHING,3,Q3,1.6,1.5,139/273,
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,CAN J EXP PSYCHOL,1196-1961,1878-7290,心理学,CANADIAN PSYCHOLOGICAL ASSOC,4,Q3,1.6,1.5,70/102,
Clinical and Translational Imaging,CLIN TRANSL IMAGING,2281-5872,2281-7565,医学,SPRINGER-VERLAG ITALIA SRL,4,Q3,1.6,1.9,133/212,
EXPERIMENTAL BRAIN RESEARCH,EXP BRAIN RES,0014-4819,1432-1106,医学,SPRINGER,4,Q4,1.6,1.9,262/314,
IRISH JOURNAL OF MEDICAL SCIENCE,IRISH J MED SCI,0021-1265,1863-4362,医学,SPRINGER LONDON LTD,4,Q2,1.6,1.7,124/332,
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,J METEOROL SOC JPN,0026-1165,2186-9057,地球科学,METEOROLOGICAL SOC JAPAN,4,Q4,1.6,3.0,91/111,
Spatial Cognition and Computation,SPAT COGN COMPUT,1387-5868,1542-7633,心理学,TAYLOR & FRANCIS INC,3,Q3,1.6,1.6,70/102,
Dental Hypotheses,DENT HYPOTHESES,2155-8213,2155-8213,医学,WOLTERS KLUWER MEDKNOW PUBLICATIONS,4,Q3,1.6,1.0,97/162,
Discover Psychology,DISCOV PSYCHOL,N/A,2731-4537,N/A,SPRINGERNATURE,N/A,Q2,1.6,1.7,103/221,
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,0924-6703,1573-7594,计算机科学,SPRINGER,4,Q2,1.6,1.7,98/343,
European Actuarial Journal,EUR ACTUAR J,2190-9733,2190-9741,经济学,SPRINGER HEIDELBERG,4,Q2,1.6,1.4,51/167,
INDUSTRIAL HEALTH,IND HEALTH,0019-8366,1880-8026,医学,"NATL INST OCCUPATIONAL SAFETY & HEALTH, JAPAN",4,Q3,1.6,2.0,277/419,
International Journal of Computational Methods,INT J COMP METH-SING,0219-8762,1793-6969,工程技术,WORLD SCIENTIFIC PUBL CO PTE LTD,4,Q2,1.6,1.4,79/175,
JOURNAL OF CLINICAL DENSITOMETRY,J CLIN DENSITOM,1094-6950,1559-0747,医学,ELSEVIER SCIENCE INC,4,Q4,1.6,2.4,158/191,
Ultrasound International Open,ULTRASOUND INT OPEN,2509-596X,2199-7152,医学,GEORG THIEME VERLAG KG,4,Q3,1.6,2.7,133/212,
CELLULAR MICROBIOLOGY,CELL MICROBIOL,1462-5814,1462-5822,生物学,WILEY,4,Q4,1.6,3.2,137/163,
JOURNAL OF AEROSPACE ENGINEERING,J AEROSPACE ENG,0893-1321,1943-5525,工程技术,ASCE-AMER SOC CIVIL ENGINEERS,4,Q2,1.6,1.8,24/55,
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1066-5277,1557-8666,生物学,"MARY ANN LIEBERT, INC",4,Q2,1.6,1.5,51/167,
JOURNAL OF OCEANOGRAPHY,J OCEANOGR,0916-8370,1573-868X,地球科学,SPRINGER,4,Q3,1.6,2.1,41/65,
JOURNAL OF TURBULENCE,J TURBUL,1468-5248,1468-5248,工程技术,TAYLOR & FRANCIS LTD,4,Q3,1.6,2.0,28/41,
LIMNOLOGY,LIMNOLOGY,1439-8621,1439-863X,环境科学与生态学,SPRINGER JAPAN KK,4,Q3,1.6,1.7,12/21,
PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST EVOL,0378-2697,1615-6110,生物学,SPRINGER WIEN,3,Q3,1.6,1.7,139/273,
RESTORATIVE NEUROLOGY AND NEUROSCIENCE,RESTOR NEUROL NEUROS,0922-6028,1878-3627,医学,IOS PRESS,4,Q4,1.6,2.3,262/314,
Annals of Medicine and Surgery,ANN MED SURG,2049-0801,2049-0801,医学,LIPPINCOTT WILLIAMS & WILKINS,4,Q2,1.6,1.6,124/332,
Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,1995-7645,2352-4146,医学,WOLTERS KLUWER MEDKNOW PUBLICATIONS,4,Q3,1.6,1.4,18/28,
CANADIAN JOURNAL OF EARTH SCIENCES,CAN J EARTH SCI,0008-4077,1480-3313,地球科学,CANADIAN SCIENCE PUBLISHING,4,Q3,1.6,1.5,169/258,
DEFENCE AND PEACE ECONOMICS,DEFENCE PEACE ECON,1024-2694,1476-8267,经济学,TAYLOR & FRANCIS LTD,3,Q2,1.6,2.1,276/617,
Dementia and Geriatric Cognitive Disorders Extra,DEMENT GER COGN D EX,N/A,1664-5464,医学,KARGER,4,Q3,1.6,1.9,210/285,
Hematology,HEMATOLOGY,1024-5332,1607-8454,医学,TAYLOR & FRANCIS LTD,4,Q3,1.6,1.7,67/98,
Journal of Place Management and Development,J PLACE MANAG DEV,1753-8335,1753-8343,管理学,EMERALD GROUP PUBLISHING LTD,4,Q3,1.6,1.9,81/139,
MODERN PHYSICS LETTERS A,MOD PHYS LETT A,0217-7323,1793-6632,物理与天体物理,WORLD SCIENTIFIC PUBL CO PTE LTD,4,Q2,1.6,1.4,25/61,
Australasian Journal of Information Systems,AUSTRALAS J INF SYST,1449-8618,1326-2238,管理学,"UNIV CANBERRA, FAC INFORMATION SCIENCES & ENGINEERING",4,Q3,1.6,2.3,181/258,
BIOLOGIA,BIOLOGIA,0006-3088,1336-9563,生物学,SPRINGER,4,Q3,1.6,1.6,57/107,
Discrete Optimization,DISCRETE OPTIM,1572-5286,1873-636X,数学,ELSEVIER,4,Q2,1.6,1.2,98/343,
Engineering Research Express,ENG RES EXPRESS,2631-8695,2631-8695,工程技术,IOP Publishing Ltd,4,Q2,1.6,1.7,79/175,
International Review of Applied Economics,INT REV APPL ECON,0269-2171,1465-3486,经济学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q2,1.6,1.6,276/617,
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,OMICS,1536-2310,1557-8100,生物学,"MARY ANN LIEBERT, INC",4,Q3,1.6,2.2,141/191,
Open Medicine,OPEN MED-WARSAW,2391-5463,2391-5463,医学,DE GRUYTER POLAND SP Z O O,4,Q2,1.6,1.8,124/332,
BIOCHEMICAL GENETICS,BIOCHEM GENET,0006-2928,1573-4927,生物学,SPRINGER/PLENUM PUBLISHERS,4,Q3,1.6,1.8,141/191,
Birth Defects Research,BIRTH DEFECTS RES,2472-1727,2472-1727,医学,WILEY,4,Q3,1.6,2.4,29/39,
GMS Hygiene and Infection Control,GMS HYG INFECT CONTR,2196-5226,2196-5226,医学,GERMAN MEDICAL SCIENCE-GMS,4,Q3,1.6,2.2,277/419,
Journal of Convention & Event Tourism,J CONV EVENT TOUR,1547-0148,1547-0156,管理学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q3,1.6,2.2,81/139,
Organic Communications,ORG COMMUN,1307-6175,1307-6175,化学,ACG PUBLICATIONS,4,Q3,1.6,1.2,36/57,
PHYSICAL BIOLOGY,PHYS BIOL,1478-3967,1478-3975,生物学,IOP Publishing Ltd,4,Q4,1.6,1.7,61/79,
Pilot and Feasibility Studies,PILOT FEASIBILITY ST,N/A,2055-5784,医学,BMC,4,Q3,1.6,2.0,142/195,
Psychology in Russia-State of the Art,PSYCHOL RUSS,2074-6857,2307-2202,N/A,"LOMONOSOV MOSCOW STATE UNIV, FAC JOURNALISM",N/A,Q2,1.6,1.0,103/221,
Sao Paulo Medical Journal,SAO PAULO MED J,1516-3180,N/A,医学,ASSOCIACAO PAULISTA MEDICINA,4,Q2,1.6,1.5,124/332,
UPSALA JOURNAL OF MEDICAL SCIENCES,UPSALA J MED SCI,0300-9734,2000-1967,医学,UPSALA MED SOC,4,Q2,1.6,2.5,124/332,
VOX SANGUINIS,VOX SANG,N/A,1423-0410,N/A,WILEY,N/A,Q3,1.6,1.7,67/98,
Autex Research Journal,AUTEX RES J,1470-9589,2300-0929,工程技术,WALTER DE GRUYTER GMBH,4,Q3,1.6,1.6,16/31,
IET Optoelectronics,IET OPTOELECTRON,1751-8768,1751-8776,N/A,WILEY,N/A,Q3,1.6,1.8,87/125,
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,INT J DEV NEUROSCI,0736-5748,1873-474X,医学,WILEY,4,Q3,1.6,1.8,29/39,
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,0733-950X,1943-5460,工程技术,ASCE-AMER SOC CIVIL ENGINEERS,4,Q3,1.6,1.7,116/183,
LAND ECONOMICS,LAND ECON,0023-7639,1543-8325,经济学,UNIV WISCONSIN PRESS,4,Q2,1.6,1.7,276/617,
North American Actuarial Journal,N AM ACTUAR J,1092-0277,2325-0453,经济学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q3,1.6,1.6,133/241,
POLAR BIOLOGY,POLAR BIOL,0722-4060,1432-2056,环境科学与生态学,SPRINGER,4,Q3,1.6,1.7,39/73,
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,ARH HIG RADA TOKSIKO,0004-1254,1848-6312,医学,SCIENDO,4,Q3,1.6,2.3,277/419,
ECONOMIC DEVELOPMENT QUARTERLY,ECON DEV Q,0891-2424,1552-3543,经济学,SAGE PUBLICATIONS INC,4,Q2,1.6,1.7,276/617,
Economics and Business Review,ECON BUS REV-POL,2392-1641,2450-0097,经济学,SCIENDO,4,Q2,1.6,1.3,276/617,
Frontiers in Research Metrics and Analytics,FRONT RES METR ANAL,N/A,2504-0537,N/A,FRONTIERS MEDIA SA,N/A,Q2,1.6,N/A,71/166,
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,IEEE INSTRU MEAS MAG,1094-6969,1941-0123,工程技术,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,4,Q3,1.6,1.7,54/79,
Journal of Business Analytics,J BUS ANAL,2573-234X,2573-2358,数学,TAYLOR & FRANCIS LTD,4,Q3,1.6,1.5,71/106,
JOURNAL OF MONEY CREDIT AND BANKING,J MONEY CREDIT BANK,0022-2879,1538-4616,经济学,WILEY,4,Q2,1.6,2.1,276/617,
Multidisciplinary Respiratory Medicine,MULTIDISCIP RESP MED,1828-695X,2049-6958,医学,MATTIOLI 1885,4,Q3,1.6,2.1,76/108,
Plant Physiology Reports,PLANT PHYSIOL REP,2662-253X,2662-2548,生物学,SPRINGERNATURE,4,Q3,1.6,2.0,139/273,
Polish Journal of Microbiology,POL J MICROBIOL,1733-1331,2544-4646,生物学,POLSKIE TOWARZYSTWO MIKROBIOLOGOW-POLISH SOCIETY OF MICROBIOLOGISTS,4,Q4,1.6,2.4,137/163,
Stroke Research and Treatment,STROKE RES TREAT,2090-8105,2042-0056,医学,WILEY,4,Q3,1.6,2.0,70/98,
Vibration,VIBRATION-BASEL,N/A,2571-631X,工程技术,MDPI,3,Q3,1.6,2.0,122/182,
ACTA OPTICA SINICA,ACTA OPT SIN,0253-2239,0253-2239,物理与天体物理,CHINESE LASER PRESS,2,Q3,1.6,1.0,87/125,
Communicable Diseases Intelligence,COMMUN DIS INTELL,N/A,2209-6051,医学,"AUSTRALIAN GOVERNMENT, DEPT HEALTH & AGEING",4,Q4,1.6,1.4,106/137,
CURRENT GENETICS,CURR GENET,0172-8083,1432-0983,生物学,SPRINGER,4,Q3,1.6,2.2,141/191,
Journal of Industrial and Management Optimization,J IND MANAG OPTIM,1547-5816,1553-166X,工程技术,AMER INST MATHEMATICAL SCIENCES-AIMS,4,Q2,1.6,1.3,79/175,
Molecular Genetics & Genomic Medicine,MOL GENET GENOM MED,2324-9269,2324-9269,医学,WILEY,4,Q3,1.6,1.7,141/191,
Musculoskeletal Care,MUSCULOSKELET CARE,1478-2189,1557-0681,医学,WILEY,4,Q3,1.6,1.8,41/58,
Open Access Journal of Sports Medicine,OPEN ACCESS J SPORTS,1179-1543,1179-1543,医学,DOVE MEDICAL PRESS LTD,4,Q3,1.6,2.5,74/133,
Urban Water Journal,URBAN WATER J,1573-062X,1744-9006,环境科学与生态学,TAYLOR & FRANCIS LTD,4,Q3,1.6,2.1,96/131,
American Journal of Translational Research,AM J TRANSL RES,1943-8141,1943-8141,医学,E-CENTURY PUBLISHING CORP,4,Q3,1.6,2.1,142/195,
CANADIAN JOURNAL OF MICROBIOLOGY,CAN J MICROBIOL,0008-4166,1480-3275,生物学,CANADIAN SCIENCE PUBLISHING,4,Q4,1.6,2.7,142/177,
INDIAN JOURNAL OF MICROBIOLOGY,INDIAN J MICROBIOL,0046-8991,0973-7715,生物学,SPRINGER,4,Q4,1.6,2.5,142/177,
INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,INT J CIRC THEOR APP,0098-9886,1097-007X,工程技术,WILEY,3,Q3,1.6,1.6,258/366,
Iraqi Journal of Agricultural Sciences,IRAQI J AGRIC SCI,0075-0530,2410-0862,农林科学,"Coll Agricultural Engineering Sciences, Univ Baghdad",4,Q2,1.6,1.3,38/94,
JOURNAL OF IMMUNOLOGICAL METHODS,J IMMUNOL METHODS,0022-1759,1872-7905,医学,ELSEVIER,4,Q4,1.6,1.9,71/86,
JOURNAL OF THE AUDIO ENGINEERING SOCIETY,J AUDIO ENG SOC,1549-4950,1549-4950,工程技术,AUDIO ENGINEERING SOC,3,Q2,1.6,1.5,79/175,
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,TOHOKU J EXP MED,0040-8727,1349-3329,医学,TOHOKU UNIV MEDICAL PRESS,4,Q2,1.6,1.7,124/332,
BIOLOGICAL CYBERNETICS,BIOL CYBERN,0340-1200,1432-0770,医学,SPRINGER,4,Q3,1.6,2.1,23/31,
GeoHazards,GEOHAZARDS-BASEL,N/A,2624-795X,N/A,MDPI,N/A,Q3,1.6,1.6,169/258,
Journal of Diabetes and Metabolic Disorders,J DIABETES METAB DIS,N/A,2251-6581,医学,SPRINGER INT PUBL AG,4,Q4,1.6,2.3,158/191,
Near Surface Geophysics,NEAR SURF GEOPHYS,1569-4445,1873-0604,地球科学,WILEY,4,Q3,1.6,2.0,59/100,
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,PHOSPHORUS SULFUR,1042-6507,1563-5325,化学,TAYLOR & FRANCIS LTD,4,Q3,1.6,1.2,36/57,
Plant Biotechnology Reports,PLANT BIOTECHNOL REP,1863-5466,1863-5474,生物学,SPRINGER,4,Q3,1.6,2.1,139/273,
Polish Journal of Radiology,POL J RADIOL,0137-7183,1899-0967,医学,INT SCIENTIFIC INFORMATION INC,4,Q3,1.6,1.5,133/212,
Production Engineering Archives,PROD ENG ARCH,2353-5156,2353-7779,工程技术,WALTER DE GRUYTER GMBH,4,Q4,1.6,1.6,53/69,
Public Health Action,PUBLIC HEALTH ACTION,2220-8372,2220-8372,医学,INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),4,Q3,1.6,1.8,76/108,
Rock and Soil Mechanics,ROCK SOIL MECH,1000-7598,1000-7598,工程技术,SCIENCE PRESS,2,Q3,1.6,1.5,44/65,
Tourism and Hospitality Management-Croatia,TOUR HOSP MANAG-CROA,1330-7533,1847-3377,管理学,"UNIV RIJEKA, FACULTY TOURISM & HOSPITALITY MANAGEMENT, OPATIJA",4,Q3,1.6,1.6,81/139,
Tropical Conservation Science,TROP CONSERV SCI,1940-0829,1940-0829,环境科学与生态学,SAGE PUBLICATIONS INC,4,Q3,1.6,1.9,39/73,
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,1217-8950,1588-2640,医学,AKADEMIAI KIADO ZRT,4,Q4,1.6,1.6,152/183,
Asia-Pacific Journal of Accounting & Economics,ASIA-PAC J ACCOUNT E,1608-1625,2164-2257,管理学,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",4,Q2,1.6,1.7,276/617,
Basic Income Studies,BASIC INCOME STUD,2194-6094,1932-0183,经济学,WALTER DE GRUYTER GMBH,4,Q2,1.6,1.7,276/617,
